run_label,prompt_id,stage,time_s
run_02_car_center_red,car_center_red,Final render,0.48
run_02_car_center_red,car_center_red,Highlighting & ckpt,0.6
run_02_car_center_red,car_center_red,OWLv2 detection,5.91
run_02_car_center_red,car_center_red,Total,216.1
run_02_car_center_red,car_center_red,Unprojection & 3D detection,0.05
run_02_car_center_red,car_center_red,Vase integration,0.82
run_03_car_left_blue,car_left_blue,Final render,0.49
run_03_car_left_blue,car_left_blue,Highlighting & ckpt,0.61
run_03_car_left_blue,car_left_blue,OWLv2 detection,5.27
run_03_car_left_blue,car_left_blue,Total,212.32
run_03_car_left_blue,car_left_blue,Unprojection & 3D detection,0.06
run_03_car_left_blue,car_left_blue,Vase integration,1.16
run_04_car_right_white,car_right_white,Final render,0.49
run_04_car_right_white,car_right_white,Highlighting & ckpt,0.61
run_04_car_right_white,car_right_white,OWLv2 detection,5.08
run_04_car_right_white,car_right_white,Total,211.55
run_04_car_right_white,car_right_white,Unprojection & 3D detection,0.05
run_04_car_right_white,car_right_white,Vase integration,1.16
run_05_bench_modern,bench_modern,Final render,0.48
run_05_bench_modern,bench_modern,Highlighting & ckpt,0.55
run_05_bench_modern,bench_modern,OWLv2 detection,5.38
run_05_bench_modern,bench_modern,Total,219.95
run_05_bench_modern,bench_modern,Unprojection & 3D detection,0.05
run_05_bench_modern,bench_modern,Vase integration,1.16
run_06_bench_long,bench_long,Final render,0.5
run_06_bench_long,bench_long,Highlighting & ckpt,2.93
run_06_bench_long,bench_long,OWLv2 detection,5.13
run_06_bench_long,bench_long,Total,223.08
run_06_bench_long,bench_long,Unprojection & 3D detection,0.09
run_06_bench_long,bench_long,Vase integration,1.22
run_07_planter_green,planter_green,Final render,0.48
run_07_planter_green,planter_green,Highlighting & ckpt,0.56
run_07_planter_green,planter_green,OWLv2 detection,4.94
run_07_planter_green,planter_green,Total,227.26
run_07_planter_green,planter_green,Unprojection & 3D detection,0.05
run_07_planter_green,planter_green,Vase integration,1.17
run_08_chair_white,chair_white,Final render,0.47
run_08_chair_white,chair_white,Highlighting & ckpt,0.58
run_08_chair_white,chair_white,OWLv2 detection,5.33
run_08_chair_white,chair_white,Total,207.66
run_08_chair_white,chair_white,Unprojection & 3D detection,0.05
run_08_chair_white,chair_white,Vase integration,1.17
run_09_chair_black,chair_black,Final render,0.49
run_09_chair_black,chair_black,Highlighting & ckpt,0.66
run_09_chair_black,chair_black,OWLv2 detection,5.26
run_09_chair_black,chair_black,Total,211.74
run_09_chair_black,chair_black,Unprojection & 3D detection,0.05
run_09_chair_black,chair_black,Vase integration,1.14
run_10_table_round,table_round,Final render,0.48
run_10_table_round,table_round,Highlighting & ckpt,0.6
run_10_table_round,table_round,OWLv2 detection,6.83
run_10_table_round,table_round,Total,175.76
run_10_table_round,table_round,Unprojection & 3D detection,0.05
run_10_table_round,table_round,Vase integration,1.17
run_11_sofa_gray,sofa_gray,Final render,0.49
run_11_sofa_gray,sofa_gray,Highlighting & ckpt,0.62
run_11_sofa_gray,sofa_gray,OWLv2 detection,5.92
run_11_sofa_gray,sofa_gray,Total,208.51
run_11_sofa_gray,sofa_gray,Unprojection & 3D detection,0.05
run_11_sofa_gray,sofa_gray,Vase integration,1.1
run_12_vase_decor,vase_decor,Final render,0.5
run_12_vase_decor,vase_decor,Highlighting & ckpt,0.62
run_12_vase_decor,vase_decor,OWLv2 detection,5.33
run_12_vase_decor,vase_decor,Total,177.77
run_12_vase_decor,vase_decor,Unprojection & 3D detection,0.05
run_12_vase_decor,vase_decor,Vase integration,1.14
run_13_lamp_floor,lamp_floor,Final render,0.5
run_13_lamp_floor,lamp_floor,Highlighting & ckpt,0.58
run_13_lamp_floor,lamp_floor,OWLv2 detection,5.14
run_13_lamp_floor,lamp_floor,Total,210.74
run_13_lamp_floor,lamp_floor,Unprojection & 3D detection,0.05
run_13_lamp_floor,lamp_floor,Vase integration,1.12
